name,location,price,area_type,area,bhk
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹1.86 Cr,Super Built-up Area,"1,359 sqft
(126 sqm)","3 BHK
(2 Baths)"
"ILD Greens
4.0","3 BHK Flat in Sector 37C, Gurgaon",₹1.48 Cr,Super Built-up Area,"1,974 sqft
(183 sqm)","3 BHK
(3 Baths)"
"Unitech Uniworld Gardens
3.8","3 BHK Flat in Sector 47, Gurgaon",₹3.3 Cr,Built-up Area,"2,027 sqft
(188 sqm)","3 BHK
(4 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.67 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Anant Raj,"3 BHK Flat in Sector 63A, Gurgaon",₹2.3 Cr,Carpet Area,"1,378 sqft
(128 sqm)","3 BHK
(3 Baths)"
"Vatika Sovereign Park
3.9","3 BHK Flat in Sector 99, Gurgaon",₹3.8 Cr,Super Built-up Area,"2,920 sqft
(271 sqm)","3 BHK
(3 Baths)"
"Bestech Park View Sanskruti
4.1","3 BHK Flat in Sector 92, Gurgaon",₹2.4 Cr,Carpet Area,"1,920 sqft
(178 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"2 BHK Flat in Sector 89, Gurgaon",₹1.36 Cr,Super Built-up Area,"1,203 sqft
(112 sqm)","2 BHK
(2 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.67 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
,,,,,
Breez Global Hill View,"2 BHK Flat in Sohna, Gurgaon",₹58 Lac,Carpet Area,"685 sqft
(64 sqm)","2 BHK
(2 Baths)"
"Indiabulls Enigma
3.3","4 BHK Flat in Sector 110, Gurgaon",₹4.75 Cr,Super Built-up Area,"3,400 sqft
(316 sqm)","4 BHK
(4 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.61 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Super Built-up Area,"1,494 sqft
(139 sqm)","3 BHK
(3 Baths)"
Smart World Gems,"2 BHK Flat in Sector 89, Gurgaon",₹1.37 Cr,Super Built-up Area,"1,203 sqft
(112 sqm)","2 BHK
(2 Baths)"
"M3M Heights
3.7","3 BHK Flat in Sector 65, Gurgaon",₹3.42 Cr,Super Built-up Area,"1,887 sqft
(175 sqm)","3 BHK
(3 Baths)"
"Shree Vardhman Victoria
3.7","3 BHK Flat in Sector 70, Gurgaon",₹2.55 Cr,Super Built-up Area,"1,950 sqft
(181 sqm)","3 BHK
(5 Baths)"
"Orchid Petals
4.1","3 BHK Flat in Sector 49, Gurgaon",₹3.48 Cr,Super Built-up Area,"1,805 sqft
(168 sqm)","3 BHK
(3 Baths)"
"Umang Winter Hills
4.0","3 BHK Flat in Sector 77, Gurgaon",₹1.9 Cr,Super Built-up Area,"1,822 sqft
(169 sqm)","3 BHK
(3 Baths)"
"Vatika Sovereign Park
3.9","4 BHK Flat in Sector 99, Gurgaon",₹4.4 Cr,Super Built-up Area,"3,365 sqft
(313 sqm)","4 BHK
(3 Baths)"
"Vatika Sovereign Park
3.9","4 BHK Flat in Sector 99, Gurgaon",₹4.3 Cr,Super Built-up Area,"3,360 sqft
(312 sqm)","4 BHK
(4 Baths)"
"DLF The Ultima
4.1","3 BHK Flat in Sector 81, Gurgaon",₹3.6 Cr,Super Built-up Area,"2,100 sqft
(195 sqm)","3 BHK
(3 Baths)"
"ATS Triumph
3.7","3 BHK Flat in Sector 104, Gurgaon",₹2.78 Cr,Super Built-up Area,"2,290 sqft
(213 sqm)","3 BHK
(3 Baths)"
"Microtek Greenburg
3.8","3 BHK Flat in Sector 86, Gurgaon",₹2.2 Cr,Super Built-up Area,"1,480 sqft
(138 sqm)","3 BHK
(2 Baths)"
"Silverglades The Melia
3.7","2 BHK Flat in Sohna, Gurgaon",₹1.32 Cr,Super Built-up Area,"1,500 sqft
(139 sqm)","2 BHK
(2 Baths)"
"Krisumi Waterfall Residences
3.7","2 BHK Flat in Sector 36A, Gurgaon",₹2.9 Cr,Super Built-up Area,"1,479 sqft
(137 sqm)","2 BHK
(2 Baths)"
M3M Flora,"3 BHK Flat in Sector 68, Gurgaon",₹2.6 Cr,Super Built-up Area,"1,635 sqft
(152 sqm)","3 BHK
(3 Baths)"
"Bestech Park View City 2
4.0","3 BHK Flat in Sector 49, Gurgaon",₹3.4 Cr,Carpet Area,"2,153 sqft
(200 sqm)","3 BHK
(3 Baths)"
"DLF The Ultima
4.1","3 BHK Flat in Sector 81, Gurgaon",₹3.66 Cr,Super Built-up Area,"2,092 sqft
(194 sqm)","3 BHK
(4 Baths)"
Emaar Palm Premier,"3 BHK Flat in Sector 77, Gurgaon",₹3.5 Cr,Carpet Area,"2,020 sqft
(188 sqm)","3 BHK
(3 Baths)"
"M3M Heights
3.7","3 BHK Flat in Sector 65, Gurgaon",₹3.5 Cr,Super Built-up Area,"1,932 sqft
(179 sqm)","3 BHK
(3 Baths)"
"Vatika Sovereign Park
3.9","3 BHK Flat in Sector 99, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,750 sqft
(255 sqm)","3 BHK
(4 Baths)"
"Adani M2K Oyster Grande
3.8","3 BHK Flat in Sector 102, Gurgaon",₹2.55 Cr,Super Built-up Area,"1,889 sqft
(175 sqm)","3 BHK
(3 Baths)"
M3M Soulitude,"3 BHK Flat in Sector 89, Gurgaon",₹1.65 Cr,Carpet Area,"1,440 sqft
(134 sqm)","3 BHK
(3 Baths)"
"Emaar MGF The Palm Drive
4.0","3 BHK Flat in Sector 66, Gurgaon",₹4.5 Cr,Super Built-up Area,"2,200 sqft
(204 sqm)","3 BHK
(3 Baths)"
"M3M Heights
3.7","3 BHK Flat in Sector 65, Gurgaon",₹3.7 Cr,Super Built-up Area,"2,054 sqft
(191 sqm)","3 BHK
(3 Baths)"
"Orchid Petals
4.1","3 BHK Flat in Block S Uppals Southend, Gurgaon",₹3.65 Cr,Super Built-up Area,"2,061 sqft
(191 sqm)","3 BHK
(4 Baths)"
"DLF The Ultima
4.1","4 BHK Flat in Sector 81, Gurgaon",₹4.95 Cr,Super Built-up Area,"2,872 sqft
(267 sqm)","4 BHK
(4 Baths)"
"Orchid Petals
4.1","3 BHK Flat in Sector 49, Gurgaon",₹2.95 Cr,Super Built-up Area,"1,805 sqft
(168 sqm)","3 BHK
(3 Baths)"
Greenopolis,"3 BHK Flat in Sector 89, Gurgaon",₹1.58 Cr,Super Built-up Area,"1,910 sqft
(177 sqm)","3 BHK
(3 Baths)"
Ansal Estella,"4 BHK Flat in Sector 103, Gurgaon",₹1.75 Cr,Super Built-up Area,"1,945 sqft
(181 sqm)","4 BHK
(4 Baths)"
"Unitech Harmony
3.3","3 BHK Flat in Nirvana Country, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,617 sqft
(243 sqm)","3 BHK
(4 Baths)"
"Unitech Escape
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹3.16 Cr,Super Built-up Area,"1,998 sqft
(186 sqm)","3 BHK
(3 Baths)"
"Sobha City
3.7","3 BHK Flat in Sector 108, Gurgaon",₹3.38 Cr,Super Built-up Area,"1,745 sqft
(162 sqm)","3 BHK
(3 Baths)"
SPS Homes sector 30 silokhra road Gurgaon,"2 BHK Flat in Vijay Vihar, Gurgaon",₹1.15 Cr,Super Built-up Area,"1,050 sqft
(98 sqm)","2 BHK
(2 Baths)"
"TDI Ourania
4.0","2 BHK Flat in Sector 53, Gurgaon",₹2.97 Cr,Super Built-up Area,"1,179 sqft
(110 sqm)","2 BHK
(2 Baths)"
"DLF New Town Heights 1
4.0","4 BHK Flat in Sector 90, Gurgaon",₹3.5 Cr,Super Built-up Area,"2,727 sqft
(253 sqm)","4 BHK
(4 Baths)"
"Ireo Skyon
4.1","2 BHK Flat in Sector 60, Gurgaon",₹2.81 Cr,Super Built-up Area,"1,524 sqft
(142 sqm)","2 BHK
(3 Baths)"
"Signature Global City 92
3.6","3 BHK Flat in Sector 92, Gurgaon",₹1.55 Cr,Super Built-up Area,"1,200 sqft
(111 sqm)","3 BHK
(2 Baths)"
"Orchid Petals
4.1","4 BHK Flat in Sector 49, Gurgaon",₹5 Cr,Super Built-up Area,"2,562 sqft
(238 sqm)","4 BHK
(4 Baths)"
"Emaar Palm Gardens
4.0","3 BHK Flat in Sector 83, Gurgaon",₹2.65 Cr,Super Built-up Area,"1,900 sqft
(177 sqm)","3 BHK
(3 Baths)"
"Unitech Fresco
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹2.66 Cr,Super Built-up Area,"1,877 sqft
(174 sqm)","3 BHK
(4 Baths)"
Tulip Violet,"3 BHK Flat in Sector 69, Gurgaon",₹2.32 Cr,Super Built-up Area,"1,578 sqft
(147 sqm)","3 BHK
(3 Baths)"
"Mapsko Royale Ville
4.0","3 BHK Flat in Sector 82, Gurgaon",₹1.86 Cr,Super Built-up Area,"1,790 sqft
(166 sqm)","3 BHK
(4 Baths)"
"The Close South
4.0","3 BHK Flat in Nirvana Country, Gurgaon",₹4.17 Cr,Super Built-up Area,"2,480 sqft
(230 sqm)","3 BHK
(4 Baths)"
Sare Homes,"4 BHK Flat in Sector 92, Gurgaon",₹2.2 Cr,Super Built-up Area,"2,248 sqft
(209 sqm)","4 BHK
(4 Baths)"
"Smart World Orchard
3.7","3 BHK Flat in Sector 61, Gurgaon",₹2.6 Cr,Super Built-up Area,"1,626 sqft
(151 sqm)","3 BHK
(3 Baths)"
"Unitech Fresco
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹2.6 Cr,Super Built-up Area,"1,815 sqft
(169 sqm)","3 BHK
(3 Baths)"
"Orchid Petals
4.1","4 BHK Flat in Sector 49, Gurgaon",₹4.5 Cr,Super Built-up Area,"2,562 sqft
(238 sqm)","4 BHK
(4 Baths)"
Sare Homes,"4 BHK Flat in Sector 92, Gurgaon",₹1.9 Cr,Super Built-up Area,"2,226 sqft
(207 sqm)","4 BHK
(4 Baths)"
"Emaar MGF The Palm Drive
4.0","3 BHK Flat in Sector 66, Gurgaon",₹4.15 Cr,Carpet Area,"1,902 sqft
(177 sqm)","3 BHK
(3 Baths)"
"The Close North
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹4.3 Cr,Super Built-up Area,"2,605 sqft
(242 sqm)","3 BHK
(3 Baths)"
"Bestech Park View City 2
4.0","4 BHK Flat in Sector 49, Gurgaon",₹4 Cr,Super Built-up Area,"2,383 sqft
(221 sqm)","4 BHK
(5 Baths)"
"Unitech Escape
3.8","3 BHK Flat in Nirvana Country, Gurgaon",₹3.18 Cr,Super Built-up Area,"1,935 sqft
(180 sqm)","3 BHK
(3 Baths)"
"Conscient Heritage One
3.4","4 BHK Flat in Sector 62, Gurgaon",₹4.9 Cr,Super Built-up Area,"2,000 sqft
(186 sqm)","4 BHK
(4 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.41 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
"ATS Triumph
3.7","4 BHK Flat in Sector 104, Gurgaon",₹4.05 Cr,Super Built-up Area,"3,150 sqft
(293 sqm)","4 BHK
(4 Baths)"
"DLF The Primus
4.0","3 BHK Flat in Sector 82A, Gurgaon",₹2.9 Cr,Carpet Area,"1,818 sqft
(169 sqm)","3 BHK
(4 Baths)"
"M3M Heights
3.7","3 BHK Flat in Sector 65, Gurgaon",₹3.9 Cr,Super Built-up Area,"2,054 sqft
(191 sqm)","3 BHK
(3 Baths)"
"M3M Woodshire
4.1","2 BHK Flat in Sector 107, Gurgaon",₹1.55 Cr,Super Built-up Area,"1,534 sqft
(143 sqm)","2 BHK
(2 Baths)"
"Vatika City
4.0","4 BHK Flat in Sector 49, Gurgaon",₹5 Cr,Super Built-up Area,"2,999 sqft
(279 sqm)","4 BHK
(5 Baths)"
"Signature The Roselia
3.7","2 BHK Flat in Sector 95A, Gurgaon",₹65 Lac,Carpet Area,"569 sqft
(53 sqm)","2 BHK
(2 Baths)"
"ATS Triumph
3.7","3 BHK Flat in Sector 104, Gurgaon",₹2.9 Cr,Super Built-up Area,"2,290 sqft
(213 sqm)","3 BHK
(3 Baths)"
Hero Homes,"3 BHK Flat in Sector 104, Gurgaon",₹2.51 Cr,Super Built-up Area,"1,689 sqft
(157 sqm)","3 BHK
(3 Baths)"
